Key,Count,Size,NeverExpire,AvgTtl(excluded never expire)
len1000-50k:*,50000,1.049 MB,50000,0
len5000-50k:*,10000,654.297 KB,10000,0
len5000-10k:*,10000,654.297 KB,10000,0
len10-50k:*,50000,537.109 KB,50000,0
len1000-10k:*,10000,214.844 KB,10000,0
len10-10k:*,10000,107.422 KB,10000,0
FUNC_CODES:*,3,360.000 Bytes,3,0
